gym,year,totals,classtype,count,ward
Ward 5,1918,13257,women,1176,5
Ward 5,1919,9865,women,546,5
Ward 5,1920,10413,women,654,5
Ward 5,1921,2247,women,341,5
Ward 5,1922,14232,women,989,5
Ward 5,1923,13740,women,759,5
Ward 5,1924,14140,women,813,5
Ward 6,1923,8282,women,575,6
Ward 6,1924,3167,women,248,6
Ward 7,1914,15425,women,2065,7
Ward 7,1915,13042,women,1870,7
Ward 7,1916,4015,women,314,7
Ward 9,1914,10812,women,673,9
Ward 9,1915,14725,women,921,9
Ward 9,1916,18992,women,1598,9
Cabot Street Gymnasium,1914,38005,girls,4830,18
Cabot Street Gymnasium,1915,29567,girls,4203,18
Cabot Street Gymnasium,1916,24618,girls,3275,18
Cabot Street Gymnasium,1917,37082,girls,5339,18
Cabot Street Gymnasium,1918,33193,girls,6524,18
Cabot Street Gymnasium,1919,10500,girls,2070,18
Cabot Street Gymnasium,1920,12053,girls,2963,18
Cabot Street Gymnasium,1921,10615,girls,2685,18
Cabot Street Gymnasium,1922,25442,girls,5035,18
Cabot Street Gymnasium,1923,21073,girls,3726,18
Cabot Street Gymnasium,1924,22754,girls,3949,18
Cabot Street Gymnasium,1925,10465,girls,1675,18
Curtis Hall Gymnasium,1914,43240,girls,6035,22
Curtis Hall Gymnasium,1915,33415,girls,5650,22
Curtis Hall Gymnasium,1916,29265,girls,4880,22
Curtis Hall Gymnasium,1917,31240,girls,4895,22
Curtis Hall Gymnasium,1918,19833,girls,3164,22
Curtis Hall Gymnasium,1919,7228,girls,1168,22
Curtis Hall Gymnasium,1920,9312,girls,1145,22
Curtis Hall Gymnasium,1921,17848,girls,4032,22
Curtis Hall Gymnasium,1922,7770,girls,2055,22
Curtis Hall Gymnasium,1923,15623,girls,2641,22
Curtis Hall Gymnasium,1924,16102,girls,3377,22
